Entidad,Fecha,Fallecimientos
AGUASCALIENTES,2020-04-10,1
AGUASCALIENTES,2020-04-13,1
AGUASCALIENTES,2020-04-17,1
AGUASCALIENTES,2020-04-19,1
AGUASCALIENTES,2020-04-22,1
AGUASCALIENTES,2020-04-27,1
AGUASCALIENTES,2020-04-28,1
AGUASCALIENTES,2020-04-30,1
AGUASCALIENTES,2020-05-04,1
AGUASCALIENTES,2020-05-06,3
AGUASCALIENTES,2020-05-07,3
AGUASCALIENTES,2020-05-08,1
AGUASCALIENTES,2020-05-10,1
AGUASCALIENTES,2020-05-13,2
AGUASCALIENTES,2020-05-14,1
AGUASCALIENTES,2020-05-15,1
AGUASCALIENTES,2020-05-16,1
AGUASCALIENTES,2020-05-17,4
AGUASCALIENTES,2020-05-21,2
AGUASCALIENTES,2020-05-22,1
AGUASCALIENTES,2020-05-24,4
AGUASCALIENTES,2020-05-25,1
AGUASCALIENTES,2020-05-26,1
AGUASCALIENTES,2020-05-27,4
AGUASCALIENTES,2020-05-28,3
AGUASCALIENTES,2020-05-29,3
AGUASCALIENTES,2020-05-30,2
AGUASCALIENTES,2020-05-31,1
AGUASCALIENTES,2020-06-01,2
AGUASCALIENTES,2020-06-02,3
AGUASCALIENTES,2020-06-03,4
AGUASCALIENTES,2020-06-04,3
AGUASCALIENTES,2020-06-05,1
AGUASCALIENTES,2020-06-06,5
AGUASCALIENTES,2020-06-07,4
AGUASCALIENTES,2020-06-08,2
AGUASCALIENTES,2020-06-09,4
AGUASCALIENTES,2020-06-10,6
AGUASCALIENTES,2020-06-11,2
AGUASCALIENTES,2020-06-12,7
AGUASCALIENTES,2020-06-13,2
AGUASCALIENTES,2020-06-14,2
AGUASCALIENTES,2020-06-15,3
AGUASCALIENTES,2020-06-16,5
AGUASCALIENTES,2020-06-17,4
AGUASCALIENTES,2020-06-18,5
AGUASCALIENTES,2020-06-19,5
AGUASCALIENTES,2020-06-20,4
AGUASCALIENTES,2020-06-21,4
AGUASCALIENTES,2020-06-22,1
AGUASCALIENTES,2020-06-23,2
AGUASCALIENTES,2020-06-24,5
AGUASCALIENTES,2020-06-25,3
AGUASCALIENTES,2020-06-26,9
AGUASCALIENTES,2020-06-27,4
AGUASCALIENTES,2020-06-28,1
AGUASCALIENTES,2020-06-29,4
AGUASCALIENTES,2020-06-30,2
AGUASCALIENTES,2020-07-01,2
AGUASCALIENTES,2020-07-02,3
AGUASCALIENTES,2020-07-03,4
AGUASCALIENTES,2020-07-04,7
AGUASCALIENTES,2020-07-05,3
AGUASCALIENTES,2020-07-06,2
AGUASCALIENTES,2020-07-07,6
AGUASCALIENTES,2020-07-08,5
AGUASCALIENTES,2020-07-09,3
AGUASCALIENTES,2020-07-10,2
AGUASCALIENTES,2020-07-11,4
AGUASCALIENTES,2020-07-12,4
AGUASCALIENTES,2020-07-13,2
AGUASCALIENTES,2020-07-14,5
AGUASCALIENTES,2020-07-15,3
AGUASCALIENTES,2020-07-16,4
AGUASCALIENTES,2020-07-17,2
AGUASCALIENTES,2020-07-18,1
AGUASCALIENTES,2020-07-19,2
AGUASCALIENTES,2020-07-20,2
AGUASCALIENTES,2020-07-21,1
AGUASCALIENTES,2020-07-22,2
AGUASCALIENTES,2020-07-23,1
BAJA CALIFORNIA,2020-03-29,1
BAJA CALIFORNIA,2020-03-30,2
BAJA CALIFORNIA,2020-03-31,2
BAJA CALIFORNIA,2020-04-01,2
BAJA CALIFORNIA,2020-04-02,5
BAJA CALIFORNIA,2020-04-03,2
BAJA CALIFORNIA,2020-04-04,5
BAJA CALIFORNIA,2020-04-05,1
BAJA CALIFORNIA,2020-04-06,10
BAJA CALIFORNIA,2020-04-07,5
BAJA CALIFORNIA,2020-04-08,6
BAJA CALIFORNIA,2020-04-09,5
BAJA CALIFORNIA,2020-04-10,7
BAJA CALIFORNIA,2020-04-11,9
BAJA CALIFORNIA,2020-04-12,12
BAJA CALIFORNIA,2020-04-13,8
BAJA CALIFORNIA,2020-04-14,12
BAJA CALIFORNIA,2020-04-15,16
BAJA CALIFORNIA,2020-04-16,10
BAJA CALIFORNIA,2020-04-17,20
BAJA CALIFORNIA,2020-04-18,16
BAJA CALIFORNIA,2020-04-19,16
BAJA CALIFORNIA,2020-04-20,14
BAJA CALIFORNIA,2020-04-21,15
BAJA CALIFORNIA,2020-04-22,18
BAJA CALIFORNIA,2020-04-23,19
BAJA CALIFORNIA,2020-04-24,24
BAJA CALIFORNIA,2020-04-25,17
BAJA CALIFORNIA,2020-04-26,18
BAJA CALIFORNIA,2020-04-27,28
BAJA CALIFORNIA,2020-04-28,21
BAJA CALIFORNIA,2020-04-29,29
BAJA CALIFORNIA,2020-04-30,22
BAJA CALIFORNIA,2020-05-01,21
BAJA CALIFORNIA,2020-05-02,26
BAJA CALIFORNIA,2020-05-03,14
BAJA CALIFORNIA,2020-05-04,30
BAJA CALIFORNIA,2020-05-05,31
BAJA CALIFORNIA,2020-05-06,28
BAJA CALIFORNIA,2020-05-07,26
BAJA CALIFORNIA,2020-05-08,33
